PID values => kp: 0.15 ki: 0.01 kd: 0.085
Print out format:
yc, zc, alt, CH1, CH3, is_manual?, roll, yaw, area, system time, x
275.726,231.016,1019,1567,1500,0,-3.93346,144.704,2.10778,19315,2.543
293.734,266.044,1023,1568,1500,0,-6.34064,146.467,2.16492,19415,2.482
336.365,257.556,1003,1588,1500,0,-9.47768,148.58,2.09945,19515,2.477
342.776,245.561,987,1559,1500,0,-11.3146,150.498,2.06475,19615,2.458
360.784,241.896,961,1559,1500,0,-13.1929,152.408,2.07818,19715,2.449
374.576,272.73,978,1570,1500,0,-14.1427,153.889,2.17488,19815,2.417
371.864,250.378,969,1556,1500,0,-14.084,154.785,2.16205,19915,2.393
359.219,249.182,981,1557,1500,0,-13.9747,155.674,2.16507,20015,2.346
339.256,273.668,980,1547,1500,0,-13.6022,155.91,2.25158,20115,2.346
285.978,263.285,1006,1502,1500,0,-13.707,155.591,2.22413,20215,2.3
246.193,243.851,1004,1507,1500,0,-12.9371,155.057,2.16095,20315,2.295
168.809,241.409,1003,1464,1500,0,-11.2626,154.535,2.1696,20415,2.281
125.385,234.983,1006,1486,1500,0,-10.418,154.386,2.16196,20515,2.271
78.4099,222.777,1003,1486,1500,0,-9.70997,154.43,2.12135,20615,2.257
-4.81037,225.317,977,1433,1500,0,-9.21739,154.194,2.14117,20715,2.239
-41.9209,209.788,962,1433,1500,0,-8.99716,154.051,2.10303,20815,2.229
-78.4146,208.944,950,1467,1500,0,-8.38281,154.368,2.12146,20915,2.215
-113.393,203.544,938,1458,1500,0,-7.30235,155.432,2.1246,21015,2.215
-173.187,197.606,920,1427,1500,0,-5.47179,156.456,2.12532,21115,2.215
-204.327,191.806,918,1427,1500,0,-3.57471,157.645,2.14199,21216,2.215
-228.771,193.793,918,1447,1500,0,-1.87628,159.002,2.14976,21316,2.215
-280.414,205.053,935,1449,1500,0,-0.114967,159.954,2.17162,21416,2.206
-301.409,211.902,949,1417,1500,0,1.04181,160.791,2.16373,21516,2.196
-319.808,222.935,968,1439,1500,0,1.6399,161.518,2.16335,21616,2.182
-337.249,237.913,986,1437,1500,0,2.51835,161.579,2.1705,21716,2.173
-344.608,263.452,1013,1437,1500,0,3.19034,161.881,2.16463,21816,2.173
-342.115,285.131,1030,1453,1500,0,3.27215,162.394,2.15652,21916,2.135
-333.325,294.082,1045,1459,1500,0,3.71445,162.722,2.14994,22016,2.112
-310.869,298.286,1049,1459,1500,0,4.18607,163.059,2.15433,22116,2.107
-297.792,301.182,1056,1474,1500,0,4.30534,164.556,2.14789,22216,2.103
-246.96,291.638,1053,1507,1500,0,4.24755,165.199,2.15307,22316,2.056
-215.308,289.681,1049,1495,1500,0,5.11377,165.526,2.13603,22416,2.052
-182.268,282.517,1038,1495,1500,0,5.17373,165.825,2.13608,22516,2.023
-112.907,269.425,1019,1542,1500,0,4.66855,165.532,2.13919,22616,1.962
-77.9244,258.72,1011,1542,1500,0,3.72764,164.933,2.12485,22716,1.911
-1.82283,253.821,998,1565,1500,0,3.43445,164.466,2.10928,22816,1.892
30.0803,246.199,994,1565,1500,0,3.78193,164.422,2.10031,22916,1.864
59.5856,244.121,991,1534,1500,0,3.21564,164.271,2.09991,23016,1.859
84.9444,245.553,996,1535,1500,0,2.72551,162.763,2.09091,23116,1.808
111.155,249.968,1005,1535,1500,0,2.96544,160.923,2.08102,23217,1.78
157.773,269.661,1026,1539,1500,0,2.76177,159.295,2.07455,23317,1.765
176.065,276.49,1036,1543,1500,0,2.77972,158.132,2.06378,23417,1.747
209.475,286.444,1042,1561,1500,0,2.09142,157.187,2.06784,23517,1.737
224.403,284.191,1042,1561,1500,0,1.76225,155.924,2.07147,23617,1.719
236.39,271.727,1034,1547,1500,0,1.70029,154.656,2.05381,23717,1.719
256.36,246.382,1004,1557,1500,0,1.89447,154.118,2.07548,23817,1.7
257.263,223.24,981,1557,1500,0,0.53481,153.205,2.07822,23917,1.691
260.216,205.066,963,1544,1500,0,0.319671,152.558,2.09292,24017,1.663
261.641,173.874,938,1543,1500,0,-0.0301874,152.352,2.09298,24117,1.658
255.092,127.332,896,1543,1500,0,0.224054,152.285,2.08682,24217,1.658
250.474,110.241,881,1537,1605,0,-0.181151,152.398,2.0944,24317,1.654
235.94,89.4948,857,1537,1605,0,-0.960197,152.682,2.09933,24417,1.639
230.487,78.4943,846,1533,1605,0,-1.32839,152.609,2.10647,24517,1.639
217.746,62.5809,834,1525,1605,0,-2.61727,152.787,2.10691,24617,1.639
191.683,42.8374,820,1526,1605,0,-3.41602,153.41,2.10667,24717,1.649
176.518,36.1088,811,1511,1605,0,-3.92863,153.79,2.11494,24818,1.649
159.945,30.6795,805,1514,1605,0,-3.66017,154.52,2.11297,24918,1.649
118.541,23.5215,799,1514,1605,0,-3.30493,155.629,2.11562,25018,1.625
94.2318,28.2893,805,1487,1605,0,-3.11365,156.798,2.10834,25118,1.583
51.5882,63.0449,835,1476,1605,0,-2.83114,158.529,2.1216,25219,1.56
31.7703,85.4987,856,1476,1605,0,-2.46429,159.181,2.12001,25320,1.499
16.7933,111.324,881,1492,1605,0,-1.68342,159.514,2.12088,25420,1.475
4.93655,141.583,909,1495,1605,0,-1.8593,160.348,2.11906,25520,1.442
-6.79063,167.47,934,1494,1500,0,-1.51427,160.659,2.12422,25620,1.367
-15.7708,215.307,981,1495,1500,0,-1.02698,161.111,2.13604,25720,1.363
-21.2327,233.292,999,1497,1500,0,-0.269634,161.398,2.13416,25820,1.363
-26.0464,255.368,1021,1497,1500,0,0.934808,161.37,2.135,25920,1.363
-27.0589,259.543,1022,1496,1500,0,1.58968,161.308,2.14571,26020,1.274
-28.5612,258.161,1018,1499,1500,0,2.55815,161.075,2.15488,26120,1.227
-26.098,253.424,1015,1503,1500,0,3.9557,160.853,2.15022,26220,1.213
-25.4119,248.069,1005,1503,1500,0,4.74923,160.689,2.16706,26320,1.199
-26.9508,249.829,1005,1499,1500,0,6.34216,160.45,2.17569,26421,1.152
-29.7077,246.214,1004,1498,1500,0,7.9866,159.946,2.16177,26521,1.143
-36.0053,247.165,1004,1497,1500,0,7.84231,159.127,2.16505,26621,1.068
-42.1885,246.464,1001,1493,1500,0,6.73672,157.609,2.17237,26721,1.063
-38.9577,242.934,1002,1493,1500,0,4.78555,155.171,2.16652,26821,1.049
-22.718,235.763,999,1515,1500,0,2.66275,153.082,2.1481,26921,1.044
-13.5342,237.151,998,1510,1500,0,-1.0602,151.311,2.16065,27021,1.044
-2.28669,233.404,1003,1513,1500,0,-4.64998,150.732,2.14131,27121,1.007
2.67633,234.904,1006,1513,1500,0,-6.62731,150.832,2.13169,27221,1.007
5.43128,238.024,1009,1507,1500,0,-8.13314,151.344,2.12005,27321,0.969
0.243154,241.607,1019,1507,1500,0,-9.66602,151.219,2.11656,27421,0.957
-15.1989,252.288,1029,1489,1500,0,-11.4472,152.361,2.11248,27521,0.947
-21.1879,260.69,1023,1496,1500,0,-12.4842,153.298,2.11899,27621,0.919
-30.7976,262.377,1035,1491,1500,0,-12.2864,154.216,2.11215,27721,0.919
-51.6926,272.144,1030,1479,1500,0,-12.6152,155.349,2.11225,27821,0.905
-56.3408,282.15,1028,1492,1500,0,-12.8623,156.212,2.13175,27921,0.905
